src_index	tgt_index
0	82
1	24
2	96
3	47
4	34
5	21
6	65
7	30
8	37
9	38
10	91
11	32
12	66
13	44
14	79
15	52
16	14
17	20
18	16
19	40
20	89
21	69
22	15
23	5
24	95
25	77
26	43
27	26
28	27
29	49
30	17
31	8
32	78
33	31
34	0
35	54
36	2
37	50
38	51
39	1
40	25
41	75
42	59
43	41
44	87
45	10
46	48
47	53
